青木,あおき
川平北公園前,かわだいらきたこうえんまえ
川平五丁目北,かわだいらごちょうめきた
川平市営住宅東,かわだいらしえいじゅうたくひがし
川平市営住宅前,かわだいらしえいじゅうたくまえ
川平小学校入口,かわだいらしょうがっこういりぐち
川平小学校前,かわだいらしょうがっこうまえ
川平団地,かわだいらだんち
川平団地入口,かわだいらだんちいりぐち
川平四丁目,かわだいらよんちょうめ
川前小学校前,かわまえしょうがっこうまえ
川向,かわむかい
河原町(西側),かわらまち
河原町(東側),かわらまち
河原町二丁目,かわらまちにちょうめ
神ケ根温泉,かんかねおんせん
観音堂前,かんのんどうまえ
上原住宅入口,かんぱらじゅうたくいりぐち
上原住宅前,かんぱらじゅうたくまえ
ガス局前,がすきょくまえ
北仙台,きたせんだい
北仙台駅,きたせんだいえき
地下鉄北仙台駅,ちかてつきたせんだいえき
北中山一丁目,きたなかやまいっちょうめ
北中山三丁目,きたなかやまさんちょうめ
北中山二丁目,きたなかやまにちょうめ
北中山二丁目東,きたなかやまにちょうめひがし
北中山四丁目,きたなかやまよんちょうめ
北根一丁目,きたねいっちょうめ
北根黒松南,きたねくろまつみなみ
北根三丁目,きたねさんちょうめ
北根二丁目・文学館前,きたねにちょうめぶんがくかんまえ
北根四丁目西,きたねよんちょうめにし
北山一丁目,きたやまいっちょうめ
北山三丁目,きたやまさんちょうめ
北山霊園前,きたやまれいえんまえ
二日町北四番丁,ふつかまちきたよんばんちょう
北六番丁小学校前,きたろくばんちょうしょうがっこうまえ
狐塚,きつねづか
木ノ下一丁目,きのしたいっちょうめ
木ノ下四丁目,きのしたよんちょうめ
木町,きまち
木町通一丁目,きまちどおりいっちょうめ
木町通小学校前,きまちどおりしょうがっこうまえ
木町通二丁目,きまちどおりにちょうめ
給水塔前,きゅうすいとうまえ
オープン病院・教育センター前,おーぷんびょういんきょういくせんたーまえ
教会前,きょうかいまえ
共済団地入口,きょうさいだんちいりぐち
切払,きりはらい
キリンビール前,きりんびーるまえ
葛岡駅前,くずおかえきまえ
葛岡下,くずおかした
国見一丁目,くにみいっちょうめ
国見ケ丘一丁目,くにみがおかいっちょうめ
国見ケ丘一丁目北,くにみがおかいっちょうめきた
国見ケ丘五丁目,くにみがおかごちょうめ
国見ケ丘三丁目福祉大野球場前,くにみがおかさんちょうめふくしだいがくやきゅうじょうまえ
国見ケ丘西,くにみがおかにし
国見五丁目,くにみごちょうめ
国見五丁目西,くにみごちょうめにし
国見小学校前,くにみしょうがっこうまえ
国見浄水場・東北文化学園大前,くにみじょうすいじょうとうほくぶんかがくえんだいまえ
国見二丁目,くにみにちょうめ
国見東山,くにみひがしやま
国見四丁目,くにみよんちょうめ
窪(北側),くぼ
窪(南側),くぼ
久保田東,くぼたひがし
熊ケ根,くまがね
熊ケ根駅前,くまがねえきまえ
熊ケ根関,くまがねせき
熊ケ根橋,くまがねばし
熊野神社前,くまのじんじゃまえ
倉内,くらうち
栗生,くりゅう
栗生入口,くりゅういりぐち
栗生上,くりゅううえ
黒松一丁目,くろまついっちょうめ
黒松団地入口,くろまつだんちいりぐち
黒松二丁目,くろまつにちょうめ
白鳥一丁目・軽自動車検査協会前,しらとりいっちょうめけいじどうしゃけんさきょうかいまえ
恵和町,けいわまち
県庁市役所前,けんちょうしやくしょまえ
元気フィールド仙台前,げんきふぃーるどせんだいまえ
工学部中央,こうがくぶちゅうおう
工学部西,こうがくぶにし
公済病院宮城野分院前,こうさいびょういんみやぎのぶんいんまえ
厚生病院前,こうせいびょういんまえ
交通局大学病院前,こうつうきょくだいがくびょういんまえ
交通公園・三居沢水力発電所前,こうつうこうえんさんきょざわすいりょくはつでんしょまえ
高等裁判所前,こうとうさいばんしょまえ
鴻の巣温泉,こうのすおんせん
光明支援学校前,こうみょうしえんがっこうまえ
越路,こえじ
